property_name,sale_price OMR,prop_location,prop_area SqM,prop_bathrooms,number_of_rooms,Ad_Type
Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,249000,"Salalah, Dhofar•",573,3,3,For Sale
Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency,125000,"The Wave (Almouj), Muscat•",110,2,1,For Sale
5 BR Spacious Villa in Azaiba Nearby Amenities,197000,"Azaiba, Muscat•",600,4,5,For Sale
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,405000,"Qurum, Muscat•",131,3,2,For Sale
Villa for Sale (Garden) - Sea View,517000,"Yiti, Muscat•",506,6,4,For Sale
Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah,254000,"Salalah, Dhofar•",610,3,3,For Sale
ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین,573000,"The Wave (Almouj), Muscat•",549,6,5,For Sale
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat",215000,"The Wave (Almouj), Muscat•",145,3,2,For Sale
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,150000,"Al Khoud, Muscat•",768,4,3,For Sale
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,120000,"Al Maabilah, Muscat•",408,6,6,For Sale
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,350000,"Barka, Al Batinah•",16,3,3,For Sale
أرض للبيع او الاستثمار بناية سكنيه تجارية,250000,"Al Buraimi, Al Buraimi•",547,3,3,For Sale
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,500000,"Ghala, Muscat•",2,3,3,For Sale
فيلا راقيه للبيع في الخوض السادسه,285000,"Al Khoud, Muscat•",614,10,9,For Sale
الأرض للبيع مساحه ٢١٠٨ م,50000,"Barka, Al Batinah•",2,3,3,For Sale
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah",95000,"Al Sifah, Muscat•",124,2,2,For Sale
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in",98000,"Al Amarat, Muscat•",195,6,4,For Sale
2Bedroom Lake View Apartment for Sale in Hawana Salalah,85000,"Salalah, Dhofar•",120,2,2,For Sale
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,50000,"Salalah, Dhofar•",55,1,1,For Sale
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,95000,"Al Sifah, Muscat•",129,2,2,For Sale
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City",175000,"Al Seeb, Muscat•",333,3,4,For Sale
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,53000,"Sultan Haitham City, Muscat•",67,1,1,For Sale
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,73000,"Al Sifah, Muscat•",120,2,2,For Sale
