property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
3-BEDROOM APARTMENT,Bausher,3,3,45000,334,For Sale
3-BEDROOM VILLA,Al Mawaleh,3,4,290000,334,For Sale
6-BEDROOM TWIN VILLA,Bausher,6,7,180000,334,For Sale
7-BEDROOM DETACHED VILLA,Al Ansab,7,9,300000,758,For Sale
4-BEDROOM DETACHED VILLA,Al Hail,4,6,80000,334,For Sale
7-BEDROOM TWIN VILLA,Bausher,7,8,105000,573,For Sale
6+1 BEDROOM DETACHED VILLA,Bausher,6,7,180,334,For Sale
4+1 BEDROOM COMPOUND VILLA,Al Khoudh,4,5,80000,260,For Sale
7-BEDROOM DETACHED VILLA,Al Ansab,7,9,220,334,For Sale
6 BEDROOM DETACHED VILLA,Maabelah,6,8,200000,334,For Sale
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,3,4,105000,300,For Sale
FARM LAND FOR SALE IN (BARKA),Barka,5,6,170000,7502,For Sale
FARM LAND FOR SALE IN (BARKA),Barka,5,6,140000,5544,For Sale
FARM FOR SALE IN (BARKA),Barka,3,6,200000,6117,For Sale
9 BEDROOM DETACHED VILLA,Qurum,9,9,166000,405,For Sale
8 BEDROOM TWIN VILLA IN ( AL-HAIL NORTH ),Al Hail,8,9,180000,520,For Sale
5 BEDROOM VILLA IN (QURUM),Qurum,4,5,175000,180,For Sale
6 BEDROOM VILLA IN (ALKHOUDH),Al Khoudh,6,8,145000,280,For Sale
5 BEDROOM VILLA IN (BAUSHER),Bausher,5,8,220000,350,For Sale
6 BEDROOM VILLA IN (BAUSHER),Bausher,6,7,220000,285,For Sale
5 BEDROOM TWINVILLA IN (AL ANSAB),Al Ansab,5,6,140000,500,For Sale
5 BEDROOM TWINVILLA IN (AL MAWALEH),Bausher,5,6,85000,334,For Sale
5 BEDROOM DETACHED VILLA IN ( AL ANSAB),Al Ansab,5,8,255000,660,For Sale
FURNISHED 5 BEDROOM VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),5,6,185000,370,For Sale
5 BEDROOM TWIN-VILLA IN ( MAABELLAH),Maabelah,5,7,75000,300,For Sale
5 BEDROOM TWINVILLA IN ( MADINAT AL SULTAN QABOOS),Madinat Qaboos (MQ),5,5,265000,284,For Sale
5 BEDROOM VILLA IN ( QURUM 20 ),Qurum,5,5,110000,209,For Sale
9 BEDROOM VILLA IN (BAUSHER),Bausher,9,9,200000,334,For Sale
RESIDENTIAL BUILDING WITH 8 APARTMENTS  IN (DARSAIT),Mutrah,5,6,130000,410,For Sale
LAND FOR SALE IN ( AL KHOUDH),Al Khoudh,5,6,90000,595,For Sale
5 BEDROOM TWINVILLA IN (AL MAWALEH),Al Mawaleh,5,6,128000,307,For Sale
5 BEDROOM VILLA IN (AL ANSAB),Al Ansab,5,6,100000,300,For Sale
4 BEDROOM VILLA IN (ALKHOUDH),Al Khoudh,4,5,110000,336,For Sale
RESIDENTIAL LAND FOR SALE IN ( AL ANSAB),Al Ansab,5,6,115000,600,For Sale
2 BEDROOM APARTMENT IN (MUSCAT HILLS),Muscat Hills,2,2,85000,130,For Sale
6 BEDROOM TWIN VILLA,Al Mawaleh,6,7,140000,300,For Sale
5 BEDROOM VILLA IN (MAABELLAH),Maabelah,5,6,75000,355,For Sale
5 BEDROOM TWIN-VILLA IN ( AL MAWALEH),Al Mawaleh,5,6,130000,236,For Sale
4 BEDROOM VILLA IN (BAUSHER),Bausher,4,5,85000,301,For Sale
5 BEDROOM VILLA IN (BAUSHER),Bausher,5,6,250000,601,For Sale
2 BEDROOM RESORT IN ( BARKA),Barka,5,6,80000,334,For Sale
RESIDENTIAL LAND  IN ( AL JAFNINE),Rusayl,5,6,41000,600,For Sale
5 BEDROOM VILLA IN (BAUHSER),Bausher,5,6,135000,300,For Sale
5 BEDROOM VILLA IN (ALGHUBRA),Al Ghoubrah,5,6,250000,600,For Sale
7 BEDROOM VILLA IN (ALANSAB),Al Ansab,7,9,220000,633,For Sale
3 BEDROOM APARTMENT IN (ALANSAB),Al Ansab,3,3,39000,18,For Sale
5 BEDROOM DETACHED VILLA IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),5,7,300000,857,For Sale
5 BEDROOM TWINVILLA IN (MAABELAH),Maabelah,5,7,72000,300,For Sale
5 BEDROOM TWINVILLA IN (FALAJ ALSHAM),Bausher,5,6,95000,232,For Sale
1 BEDROOM APARTMENT IN (ALKHOUD),Al Khoudh,1,2,32000,69,For Sale
FURNISHED 2 BEDROOM APARTMENT IN     (MSQ),Madinat Qaboos (MQ),2,2,65000,334,For Sale
FURNISHED 1 BEDROOM APARTMENT IN (MUSCAT BAY),MUSCAT BAY,1,1,85000,79,For Sale
2-BEDROOM APARTMENT,Bausher,2,3,35000,137,For Sale
4-BEDROOM STANDALONE VILLA,Muscat Hills,4,5,350000,334,For Sale
6 BEDROOM TWIN-VILLA,Al Khoudh,6,7,130000,412,For Sale
6-BEDROOM DETACHED VILLA,Al Hail,6,9,300000,334,For Sale
3 BEDROOM TOWNHOUSE,Al Khoudh,3,3,80000,199,For Sale
8 BEDROOM DETACHED VILLA IN (MAWALLEH),Al Mawaleh,6,8,320000,670,For Sale
7 BEDROOM DETACHED VILLA IN (AL KHUWAIR),Al Khuwair,7,8,85000,334,For Sale
FULLY FURNISHED 2 BEDROOM APARTMENT,Salalah,2,2,90000,129,For Sale
Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,"Salalah, Dhofar•",3,3,249000,573,For Sale
Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency,"The Wave (Almouj), Muscat•",1,2,125000,110,For Sale
5 BR Spacious Villa in Azaiba Nearby Amenities,"Azaiba, Muscat•",5,4,197000,600,For Sale
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,"Qurum, Muscat•",2,3,405000,131,For Sale
Villa for Sale (Garden) - Sea View,"Yiti, Muscat•",4,6,517000,506,For Sale
