property_name,sale_price,prop_location,prop_area,prop_bathrooms,number_of_rooms
Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,"OMR 249,000","Salalah, Dhofar•",573 SQM,3,3
Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency,"OMR 125,000","The Wave (Almouj), Muscat•",110 SQM,2,1
5 BR Spacious Villa in Azaiba Nearby Amenities,"OMR 197,000","Azaiba, Muscat•",600 SQM,4,5
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,"OMR 405,000","Qurum, Muscat•",131 SQM,3,2
Villa for Sale (Garden) - Sea View,"OMR 517,000","Yiti, Muscat•",506 SQM,6,4
Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah,"OMR 254,000","Salalah, Dhofar•",610 SQM,3,3
ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین,"OMR 573,300","The Wave (Almouj), Muscat•",549 SQM,6,5
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat","OMR 215,000","The Wave (Almouj), Muscat•",145 SQM,3,2
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"OMR 150,000","Al Khoud, Muscat•",768 SQM,4,3
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"OMR 120,000","Al Maabilah, Muscat•",408 SQM,6,6
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"OMR 350,000","Barka, Al Batinah•","16,800 SQM",not mentioned,not mentioned
أرض للبيع او الاستثمار بناية سكنيه تجارية,"OMR 250,000","Al Buraimi, Al Buraimi•",547 SQM,not mentioned,not mentioned
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,OMR 500,"Ghala, Muscat•","2,934 SQM",not mentioned,not mentioned
فيلا راقيه للبيع في الخوض السادسه,"OMR 285,000","Al Khoud, Muscat•",614 SQM,10,9
الأرض للبيع مساحه ٢١٠٨ م,"OMR 50,000","Barka, Al Batinah•","2,108 SQM",not mentioned,not mentioned
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","OMR 95,000","Al Sifah, Muscat•",124 SQM,2,2
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","OMR 98,000","Al Amarat, Muscat•",195 SQM,6,4
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"OMR 85,000","Salalah, Dhofar•",120 SQM,2,2
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"OMR 50,000","Salalah, Dhofar•",55 SQM,1,1
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"OMR 95,000","Al Sifah, Muscat•",129 SQM,2,2
Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah,"OMR 254,000","Salalah, Dhofar•",610 SQM,3,3
ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین,"OMR 573,300","The Wave (Almouj), Muscat•",549 SQM,6,5
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat","OMR 215,000","The Wave (Almouj), Muscat•",145 SQM,3,2
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"OMR 150,000","Al Khoud, Muscat•",768 SQM,4,3
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"OMR 120,000","Al Maabilah, Muscat•",408 SQM,6,6
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"OMR 350,000","Barka, Al Batinah•","16,800 SQM",not mentioned,not mentioned
أرض للبيع او الاستثمار بناية سكنيه تجارية,"OMR 250,000","Al Buraimi, Al Buraimi•",547 SQM,not mentioned,not mentioned
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,OMR 500,"Ghala, Muscat•","2,934 SQM",not mentioned,not mentioned
فيلا راقيه للبيع في الخوض السادسه,"OMR 285,000","Al Khoud, Muscat•",614 SQM,10,9
الأرض للبيع مساحه ٢١٠٨ م,"OMR 50,000","Barka, Al Batinah•","2,108 SQM",not mentioned,not mentioned
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","OMR 95,000","Al Sifah, Muscat•",124 SQM,2,2
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","OMR 98,000","Al Amarat, Muscat•",195 SQM,6,4
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"OMR 85,000","Salalah, Dhofar•",120 SQM,2,2
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"OMR 50,000","Salalah, Dhofar•",55 SQM,1,1
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"OMR 95,000","Al Sifah, Muscat•",129 SQM,2,2
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","OMR 175,000","Al Seeb, Muscat•",333 SQM,3,4
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"OMR 53,922","Sultan Haitham City, Muscat•",67 SQM,1,1
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"OMR 73,000","Al Sifah, Muscat•",120 SQM,2,2
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"OMR 170,000","Al Sifah, Muscat•",140 SQM,3,2
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","OMR 110,000","Al Sifah, Muscat•",124 SQM,2,2
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","OMR 190,000","Al Sifah, Muscat•",990 SQM,3,2
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"OMR 165,000","Salalah, Dhofar•",131 SQM,2,2
2Bedroom Duplex Villa For Sale – Hawana Salalah,"OMR 135,000","Salalah, Dhofar•",124 SQM,2,2
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"OMR 335,000","Al Sifah, Muscat•",344 SQM,4,4
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"OMR 160,000","Salalah, Dhofar•",131 SQM,2,2
Apartment for sale in Muscat- شقة للبيع في مسقط,"OMR 87,000","Yiti, Muscat•",79 SQM,2,1
Courtyard Villa for Sale -  فيلا للبيع,"OMR 238,000","Yiti, Muscat•",252 SQM,5,3
Apartment for sale with 3 bedrooms- شقة للبيع بثلاث غرف,"OMR 220,000","Yiti, Muscat•",164 SQM,4,3
Apartment for sale with 2-Bedrooms شقة للبيع بغرفتين,"OMR 132,000","Yiti, Muscat•",122 SQM,3,2
Villa in Muscat for Sale فيلا للبيع في مسقط,"OMR 468,000","Yiti, Muscat•",459 SQM,6,4
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","OMR 175,000","Al Seeb, Muscat•",333 SQM,3,4
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"OMR 53,922","Sultan Haitham City, Muscat•",67 SQM,1,1
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"OMR 73,000","Al Sifah, Muscat•",120 SQM,2,2
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"OMR 170,000","Al Sifah, Muscat•",140 SQM,3,2
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","OMR 110,000","Al Sifah, Muscat•",124 SQM,2,2
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","OMR 190,000","Al Sifah, Muscat•",990 SQM,3,2
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"OMR 165,000","Salalah, Dhofar•",131 SQM,2,2
2Bedroom Duplex Villa For Sale – Hawana Salalah,"OMR 135,000","Salalah, Dhofar•",124 SQM,2,2
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"OMR 335,000","Al Sifah, Muscat•",344 SQM,4,4
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"OMR 160,000","Salalah, Dhofar•",131 SQM,2,2
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"OMR 111,700","Sultan Haitham City, Muscat•",194 SQM,3,3
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"OMR 265,000","Al Sifah, Muscat•",129 SQM,2,2
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"OMR 240,000","The Wave (Almouj), Muscat•",195 SQM,3,3
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"OMR 714,000","The Wave (Almouj), Muscat•",455 SQM,6,5
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"OMR 82,000","Al Amarat, Muscat•",338 SQM,7,6
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"OMR 111,700","Sultan Haitham City, Muscat•",194 SQM,3,3
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"OMR 265,000","Al Sifah, Muscat•",129 SQM,2,2
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"OMR 240,000","The Wave (Almouj), Muscat•",195 SQM,3,3
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"OMR 714,000","The Wave (Almouj), Muscat•",455 SQM,6,5
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"OMR 82,000","Al Amarat, Muscat•",338 SQM,7,6
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"OMR 49,500","Azaiba, Muscat•",105 SQM,3,2
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"OMR 29,500","Azaiba, Muscat•",60 SQM,2,1
Own Your Shop with Residential Visa in installments over 8 years,"OMR 39,750","Muscat Hills, Muscat•",15 SQM,not mentioned,not mentioned
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,"OMR 39,750","Muscat Hills, Muscat•",15 SQM,not mentioned,not mentioned
فيلا للبيع في الوادي الكبير مع الأثاث,"OMR 165,000","Al Wadi Al Kabir, Muscat•",601 SQM,6,9
محلات للبيع في الخوض مكان جميل جدا و ممتاز,"OMR 40,000","Al Khoud, Muscat•",26 SQM,not mentioned,not mentioned
فيلا للبيع في موقع مميز في المعبيله,"OMR 79,000","Al Maabilah, Muscat•",600 SQM,5,3
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,"OMR 168,000","Azaiba, Muscat•",700 SQM,6,7
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,"OMR 110,000","Al Hail, Muscat•",623 SQM,4,6
توين فيلا جميلة للبيع في المسفاة,"OMR 90,000","Misfah, Muscat•",312 SQM,7,5
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,"OMR 55,000","Ghala, Muscat•",103 SQM,3,2
(freehold) 1bhk for sale in muscat hails,"OMR 66,000","Muscat Hills, Muscat•",74 SQM,2,1
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),"OMR 28,000","Barka, Al Batinah•",300 SQM,not mentioned,not mentioned
للبيع بناية في دارسيت مؤجره بالكامل,"OMR 185,000","Darsait, Muscat•",586 SQM,not mentioned,not mentioned
شقق راقية للبيع في ولاية العامرات (بناية الميرا),"OMR 28,000","Al Amarat, Muscat•",95 SQM,2,2
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,"OMR 115,000","Bosher, Muscat•",415 SQM,not mentioned,not mentioned
Buying a villa with 10% down payment for 4 bedrooms,"OMR 277,000","Yiti, Muscat•",285 SQM,6,4
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,"OMR 127,900","Yiti, Muscat•",120 SQM,3,2
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,"OMR 59,016","Al Khoud, Muscat•",83 SQM,2,1
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,"OMR 166,570","Yiti, Muscat•",121 SQM,3,2
Villa with 4 Bedrooms for Sale- فيلا بأربع غرف للبيع,"OMR 517,000","Yiti, Muscat•",560 SQM,5,4
Villa for Sale in Muscat- فيلا للبيع في مسقط,"OMR 474,000","Yiti, Muscat•",500.85 SQM,5,4
Golf View | Pool View 1 BHK Aida Greate Escape2 | 40 Month Installment,"OMR 89,898","Yiti, Muscat•",56 SQM,2,1
BOOK NOW Apartments in (SULTAN HAITHAM CITY) with 5 Years Payment Plan,"OMR 53,922","Al Maabilah, Muscat•",67 SQM,1,1
فيلا للبيع، مدينة السلطان هيثم Villa in Sultan Haitham City,"OMR 227,100","Al Seeb, Muscat•",412 SQM,5,5
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"OMR 49,500","Azaiba, Muscat•",105 SQM,3,2
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"OMR 29,500","Azaiba, Muscat•",60 SQM,2,1
Own Your Shop with Residential Visa in installments over 8 years,"OMR 39,750","Muscat Hills, Muscat•",15 SQM,not mentioned,not mentioned
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,"OMR 39,750","Muscat Hills, Muscat•",15 SQM,not mentioned,not mentioned
فيلا للبيع في الوادي الكبير مع الأثاث,"OMR 165,000","Al Wadi Al Kabir, Muscat•",601 SQM,6,9
محلات للبيع في الخوض مكان جميل جدا و ممتاز,"OMR 40,000","Al Khoud, Muscat•",26 SQM,not mentioned,not mentioned
فيلا للبيع في موقع مميز في المعبيله,"OMR 79,000","Al Maabilah, Muscat•",600 SQM,5,3
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,"OMR 168,000","Azaiba, Muscat•",700 SQM,6,7
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,"OMR 110,000","Al Hail, Muscat•",623 SQM,4,6
توين فيلا جميلة للبيع في المسفاة,"OMR 90,000","Misfah, Muscat•",312 SQM,7,5
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,"OMR 55,000","Ghala, Muscat•",103 SQM,3,2
(freehold) 1bhk for sale in muscat hails,"OMR 66,000","Muscat Hills, Muscat•",74 SQM,2,1
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),"OMR 28,000","Barka, Al Batinah•",300 SQM,not mentioned,not mentioned
للبيع بناية في دارسيت مؤجره بالكامل,"OMR 185,000","Darsait, Muscat•",586 SQM,not mentioned,not mentioned
شقق راقية للبيع في ولاية العامرات (بناية الميرا),"OMR 28,000","Al Amarat, Muscat•",95 SQM,2,2
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,"OMR 72,223","Al Seeb, Muscat•",102 SQM,1,1
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز  FSA83,"OMR 58,000","Azaiba, Muscat•",103 SQM,3,2
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,"OMR 176,000","Sultan Haitham City, Muscat•",220 SQM,5,3
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,"OMR 137,000","The Wave (Almouj), Muscat•",126 SQM,2,2
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,"OMR 63,000","Muscat Hills, Muscat•",95 SQM,2,1
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,"OMR 46,627","Sultan Haitham City, Muscat•",75 SQM,1,Studio
Amazing 2BHK Corner Flat For Sale  in Muscat Hills FSA12,"OMR 76,000","Muscat Hills, Muscat•",118 SQM,3,2
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,"OMR 260,000","Yiti, Muscat•",125 SQM,3,3
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,"OMR 70,000","Sultan Haitham City, Muscat•",110 SQM,3,2
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills","OMR 63,800","Muscat Hills, Muscat•",100 SQM,1,1
Reduced Price!!! 2BHK Apartment with Pool View in Muscat Hills FSA43,"OMR 70,000","Muscat Hills, Muscat•",100 SQM,2,2
شقة للبيع في بناية شمس بوشر-Apartment for Sale (Shams Bousher Building,"OMR 52,000","Bosher, Muscat•",112.28 SQM,2,2
"For Sale – One-Bedroom Apartment in Marsa Garden, Al Mouj Muscat","OMR 110,000","The Wave (Almouj), Muscat•",95 SQM,1,1
"تملك على البحر من 83,000 ريال (تملك حر) Own by the Beach","OMR 83,000","The Wave (Almouj), Muscat•",70 SQM,1,1
For Sale: Prime Land in Ghala,"OMR 3,000,000","Ghala, Muscat•","16,300 SQM",not mentioned,not mentioned
Distress Sale Freehold 1 BHK with Residence Visa in Duqum for Just 22K,"OMR 24,000","Al Duqum, Al Wusta•",40 SQM,2,1
توين فيلا للبيع في حي الكوثر الخوض,"OMR 118,000","Al Khoud, Muscat•",300 SQM,7,6
منزل للبيع في المعبيلة الجنوبية حي العز,"OMR 68,000","Al Maabilah, Muscat•",226 SQM,4,4
Amazing 2+1BHK FOR SALE in AL Mouj – Luban FSA24,"OMR 120,000","The Wave (Almouj), Muscat•",127 SQM,2,2
Twin Villa for Sale Soor Al Hadid,"OMR 87,000","Al Seeb, Muscat•",378 SQM,7,5
Rare Opportunity – Marina View Apartment in Al Mouj at a Great Price,"OMR 230,000","The Wave (Almouj), Muscat•",157 SQM,2,2
شقة مؤثثة بالكامل للبيع بتصميم عصري VIP في المعبيلة 5 / 1 خلف عرب سويت,"OMR 30,000","Al Maabilah, Muscat•",101 SQM,2,2
شقة مؤثثة جزئيًا للبيع في المعبيلة قريب المدرسة الهندية على شارع النور,"OMR 36,500","Al Maabilah, Muscat•",126 SQM,3,3
منزل للبيع في المعبيلة الصناعية في حي العز خلف جامع السلطان تيمور,"OMR 55,000","Al Maabilah, Muscat•",531 SQM,3,2
شقة سكنية للبيع ف المعبيلة حي الرحبة قريب مدرسة منار الحكمة,"OMR 25,500","Al Maabilah, Muscat•",101 SQM,3,3
Sea View 1BHK Appartment FreeHold Installmentشقة بغرفة نوم واحدة للبيع,"OMR 105,647","Yiti, Muscat•",78 SQM,2,1
Last Chance| Courtyard Villa at The Sustainable City–Yiti | فيلا للبيع,"OMR 236,000","Yiti, Muscat•",252 SQM,5,3
شقة للبيع في مرتفعات المطار غلا – بسعر لا يفوت ابتداء من 26 ألف ريال,"OMR 26,000","Ghala, Muscat•",60 SQM,2,1
Villa fo sale with 3 bedrooms- فيلا للبيع بثلاث غرف نوم,"OMR 238,000","Yiti, Muscat•",237.54 SQM,4,3
Apartment in Muscat for Sale- شقة في مسقط للبيع,"OMR 128,000","Yiti, Muscat•",120 SQM,3,2
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,"OMR 115,000","Bosher, Muscat•",415 SQM,not mentioned,not mentioned
Buying a villa with 10% down payment for 4 bedrooms,"OMR 277,000","Yiti, Muscat•",285 SQM,6,4
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,"OMR 127,900","Yiti, Muscat•",120 SQM,3,2
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,"OMR 59,016","Al Khoud, Muscat•",83 SQM,2,1
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,"OMR 166,570","Yiti, Muscat•",121 SQM,3,2
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,"OMR 72,223","Al Seeb, Muscat•",102 SQM,1,1
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز  FSA83,"OMR 58,000","Azaiba, Muscat•",103 SQM,3,2
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,"OMR 176,000","Sultan Haitham City, Muscat•",220 SQM,5,3
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,"OMR 137,000","The Wave (Almouj), Muscat•",126 SQM,2,2
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,"OMR 63,000","Muscat Hills, Muscat•",95 SQM,2,1
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,"OMR 46,627","Sultan Haitham City, Muscat•",75 SQM,1,Studio
Amazing 2BHK Corner Flat For Sale  in Muscat Hills FSA12,"OMR 76,000","Muscat Hills, Muscat•",118 SQM,3,2
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,"OMR 260,000","Yiti, Muscat•",125 SQM,3,3
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,"OMR 70,000","Sultan Haitham City, Muscat•",110 SQM,3,2
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills","OMR 63,800","Muscat Hills, Muscat•",100 SQM,1,1
منزل مستقل للبيع في المعبيلة مقابل جامع السلطان تيمور بن فيصل,"OMR 66,000","Al Maabilah, Muscat•",509 SQM,4,3
فيلا بجودة بناء عالية للبيع في مرتفعات الأنصب,"OMR 205,000","Ansab, Muscat•",405 SQM,6,4
فيلا للبيع في الخوض السادسة,"OMR 160,000","Al Khoud, Muscat•",300 SQM,7,6
فيلا راقية للبيع في مرتفعات الأنصب Luxury vila for sale inAnsab hights,"OMR 225,000","Ansab, Muscat•",704 SQM,9,7
فلة مزرعة للبيع في منتجع السيفة,"OMR 245,000","Al Sifah, Muscat•","1,299 SQM",5,4
تملك شقتك في مسقط بالاقساط علي 100 شهر بدون فوائد,"OMR 25,000","Al Maabilah, Muscat•",100 SQM,2,2
تملك شقتك بقسط شهري 200 ريال ف مسقط,"OMR 25,000","Al Maabilah, Muscat•",100 SQM,2,2
3 Bedrooms Villa For Sale with Swimming Pool,"OMR 320,000","The Wave (Almouj), Muscat•",269 SQM,3,3
محل للبيع تجاري في موقع مميز وفرصة استثمارية عالية وفريدة,"OMR 36,655","Ghala, Muscat•",44.7 SQM,not mentioned,not mentioned
مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,"OMR 48,500","Ghala, Muscat•",97.35 SQM,not mentioned,not mentioned
محل للبيع تجاري في موقع استراتيجي وعائد استثماري عالي,"OMR 28,000","Al Ghubrah, Muscat•",28.76 SQM,not mentioned,not mentioned
Serviced 1 BHK Apartment | 3 Years Payment Plan | La Vie Residences,"OMR 124,031","Muscat - Other, Muscat•",105 SQM,2,1
Fully Serviced and Furnished Studio Apartment for Sale in La Vie,"OMR 65,100","Muscat Hills, Muscat•",64 SQM,1,Studio
1 BR Appartment | Sustainable City Yiti | شقة بغرفة نوم واحدة| ROI: 9%,"OMR 79,000","Yiti, Muscat•",79 SQM,2,1
شقة بغرفتي نوم 2 | الدفع بالتقسيط  في مدينة يتي المستدامة,"OMR 127,931","Yiti, Muscat•",118 SQM,3,2
FREE HOLD!! Amazing 2+1 Bedroom Apartment For Sale in AL Mouj,"OMR 120,000","The Wave (Almouj), Muscat•",127 SQM,2,2
ADS702***Brand New 1BHK Apartment for Sale – Prime Opportunity!,"OMR 33,000","Bosher, Muscat•",80 SQM,2,1
ADS701***Brand New 2BHK Apartment for Sale – Prime Opportunity!,"OMR 43,000","Bosher, Muscat•",110 SQM,3,2
ADS302**للبيع فيلا تشطيبات راقية في الخوض السابعة,"OMR 135,000","Al Khoud, Muscat•",484 SQM,8,7
Furnished Farm for Sale in Jebel Sifah with beautiful views,"OMR 205,000","Al Sifah, Muscat•",177 SQM,3,3
Own Your Apartment Now in Sultan Haitham City,"OMR 54,395","Sultan Haitham City, Muscat•",67 SQM,1,1
"تاون هاوس للبيع, مدينة السلطان هيثم | Townhouse Sultan Haitham City","OMR 111,700","Sultan Haitham City, Muscat•",194 SQM,3,3
"Best Price 1 Bedroom Freehold Apartment for Sale Jebel Sifah, Muscat","OMR 50,000","Al Sifah, Muscat•",61 SQM,1,1
